DISASSEMBLY	OPER
AND	O
BENCH	O
CHECKS	O
TEST	O
EQUIPMENT	O
NEEDED	O
:	O
Multimeter	TOOL
Regulator	TOOL
Tester	O
ALTERNATOR	PART
NOTICE	O
:	O
On	O
some	O
alternators	PART
on	O
certain	O
engine	PART
configurations	O
,	O
a	O
1,5	O
µf	O
capacitor	PART
has	O
been	O
installed	O
to	O
the	O
output	PART
terminal	PART
and	O
attached	O
with	O
a	O
cover	PART
screw	PART
0	O
Remove	OPER
the	O
capacitor	PART
-LRB-	O
DRA	ID
1985444	ID
-RRB-	O
before	O
performing	O
``	O
Regulatror	O
Quick	O
Check	OPER
0	O
''	O
0	O
Remove	OPER
screws	PART
-LRB-	O
216	O
-RRB-	O
and	O
rectifier	PART
end	O
plate	PART
-LRB-	O
15	O
-RRB-	O
to	O
expose	O
electronics	PART
compartment	PART
0	O
-LRB-	O
See	O
Fig.	O
12	O
-RRB-	O
0	O
Inspect	OPER
electronics	PART
compartment	PART
for	O
contamination	O
,	O
for	O
shorted	O
or	O
grounded	O
wires	PART
,	O
and	O
for	O
loose	O
connections	O
0	O
If	O
contamination	O
is	O
present	O
,	O
clean	O
and	O
dry	O
compartment	PART
before	O
proceeding	O
0	O
The	O
protective	PART
coating	PART
on	O
all	O
electronic	PART
components	PART
is	O
a	O
good	O
insulator	PART
and	O
must	O
be	O
scraped	O
off	O
to	O
get	O
a	O
good	O
contact	O
for	O
test	O
equipment	O
probes	O
0	O
FIELD	PART
COIL	PART
Disconnect	OPER
2	O
field	PART
leads	PART
-LRB-	O
A	O
-RRB-	O
from	O
regulator	PART
-LRB-	O
6	O
-RRB-	O
-LRB-	O
See	O
Fig.	O
13	O
-RRB-	O
,	O
by	O
removing	OPER
2	O
insulated	PART
regulator	PART
attachment	O
screws	PART
-LRB-	O
217	O
-RRB-	O
0	O
Use	O
ohmmeter	TOOL
-LRB-	O
or	O
voltmeter	TOOL
,	O
ammeter	TOOL
and	O
battery	PART
-RRB-	O
to	O
check	OPER
resistance	PROP
of	O
field	PART
coil	PART
0	O
Compare	O
to	O
Field	O
Check	O
ohms	O
-LRB-	O
or	O
volts	O
and	O
amps	O
-RRB-	O
in	O
Specifications	O
at	O
the	O
end	O
of	O
this	O
manual	O
or	O
from	O
Service	O
Specification	O
Bulletin	O
0	O
If	O
outside	O
specifications	O
,	O
replace	OPER
field	PART
coil	PART
as	O
described	O
later	O
in	O
this	O
manual	O
0	O
DIODE	PART
TRIO	PART
To	O
check	OPER
the	O
diode	PART
trio	PART
-LRB-	O
7	O
-RRB-	O
,	O
remove	OPER
it	O
from	O
the	O
electronics	PART
compartment	PART
by	O
detaching	OPER
the	O
3	O
nuts	PART
-LRB-	O
218	O
-RRB-	O
,	O
stator	PART
leads	PART
-LRB-	O
B	O
-RRB-	O
and	O
attaching	OPER
screw	PART
-LRB-	O
217	O
-RRB-	O
0	O
Note	O
that	O
the	O
insulating	PART
washer	PART
on	O
the	O
screw	PART
is	O
assembled	O
over	RPOS
the	O
top	RPOS
of	O
the	O
diode	PART
trio	PART
connector	PART
0	O
Discard	OPER
screw	PART
if	O
insulation	PROP
is	O
fractured	O
during	O
removal	O
0	O
CAPACITOR	PART
Remove	OPER
capacitor	PART
-LRB-	O
12	O
-RRB-	O
by	O
removing	O
the	O
remaining	O
two	O
attachment	O
screws	PART
-LRB-	O
224	O
-RRB-	O
and	O
screw	OPER
-LRB-	O
226	O
-RRB-	O
sliding	OPER
out	RPOS
capacitor	PART
0	O
-LRB-	O
A	O
sharp	PROP
tool	TOOL
may	O
be	O
used	O
to	O
break	OPER
varnish	PART
seal	PART
0	O
-RRB-	O
Using	O
continuity	O
check	O
mode	O
-LRB-	O
diode	PART
check	OPER
mode	O
on	O
digital	TOOL
meter	TOOL
-RRB-	O
,	O
check	OPER
for	O
a	O
shorted	O
capacitor	PART
by	O
touching	O
ohmmeter	TOOL
leads	O
to	O
capacitor	PART
lead	PART
-LRB-	O
F	O
-RRB-	O
and	O
grounding	O
tab	O
-LRB-	O
T	O
-RRB-	O
0	O
-LRB-	O
See	O
Fig.	O
15	O
-RRB-	O
This	O
check	OPER
should	O
show	O
an	O
open	O
circuit	O
0	O
REGULATOR	O
To	O
remove	OPER
regulator	PART
-LRB-	O
6	O
-RRB-	O
for	O
testing	O
,	O
remove	OPER
sense	O
lead	PART
nut	PART
-LRB-	O
218	O
-RRB-	O
,	O
bridge	O
to	O
regulator	PART
stud	PART
connector	PART
-LRB-	O
219	O
-RRB-	O
and	O
2	O
screws	PART
-LRB-	O
217	O
-RRB-	O
if	O
not	O
removed	O
previously	O
and	O
screw	PART
-LRB-	O
224	O
-RRB-	O
0	O
Disconnect	OPER
``	O
I	O
''	O
terminal	PART
sense	PART
lead	PART
strap	PART
to	O
allow	O
regulator	PART
removal	O
0	O
-LRB-	O
See	O
Fig.	O
16	O
-RRB-	O
Note	O
:	O
Discard	OPER
insulated	PROP
screw	PART
if	O
insulation	O
is	O
fractured	O
during	O
removal	OPER
0	O
Check	OPER
regulator	PART
on	O
approved	O
tester	O
for	O
SI	O
type	O
regulators	PART
0	O
If	O
regulator	PART
tests	O
good	O
,	O
return	O
it	O
to	O
service	O
0	O
If	O
it	O
tests	O
bad	O
,	O
replace	OPER
it	O
0	O
Install	OPER
regulator	PART
as	O
described	O
later	O
in	O
this	O
section	O
0	O
RECTIFIER	PART
BRIDGE	PART
Use	O
the	O
ohmmeter	TOOL
or	O
-LRB-	O
for	O
digital	TOOL
meters	TOOL
-RRB-	O
the	O
diode	PART
check	O
function	O
of	O
the	O
multimeter	TOOL
to	O
check	OPER
the	O
rectifier	PART
bridge	PART
-LRB-	O
8	O
-RRB-	O
0	O
Bridge	PART
may	O
be	O
checked	O
in	O
place	O
in	O
the	O
RE	O
housing	PART
-LRB-	O
1	O
-RRB-	O
0	O
All	O
terminals	PART
must	O
be	O
disconnected	O
from	O
the	O
threaded	PART
phase	PART
studs	PART
0	O
``	O
R	O
''	O
terminal	PART
and	O
output	PART
terminal	PART
straps	PART
-LRB-	O
198	O
&	O
186	O
-RRB-	O
may	O
be	O
raised	O
approximately	O
one	O
inch	O
-LRB-	O
2,5	O
cm	O
-RRB-	O
above	RPOS
rectifier	PART
for	O
removal	O
of	O
diode	PART
trio	PART
-LRB-	O
7	O
-RRB-	O
or	O
rectifier	PART
bridge	PART
-LRB-	O
8	O
-RRB-	O
0	O
Check	OPER
6	O
diodes	PART
as	O
follows	O
:	O
Place	OPER
negative	O
ohmmeter	TOOL
lead	O
on	O
grounded	O
heat	PART
sink	PART
0	O
Touch	O
positive	O
ohmmeter	TOOL
lead	O
firmly	O
to	O
metal	O
diode	PART
clips	PART
that	O
surround	O
each	O
of	O
the	O
3	O
threaded	PART
studs	PART
0	O
All	O
3	O
readings	O
should	O
be	O
the	O
same	O
,	O
and	O
indicate	O
open	O
circuits	PART
0	O
Switch	OPER
leads	O
and	O
repeat	O
0	O
All	O
3	O
new	O
readings	O
should	O
indicate	O
continuity	O
-LRB-	O
Fig.	O
17	O
-RRB-	O
Repeat	O
checks	O
using	O
insulated	PROP
-LRB-	O
positive	O
-RRB-	O
heat	PART
sink	PART
in	O
place	O
of	O
grounded	O
heat	O
sink	O
0	O
With	O
negative	O
ohmmeter	TOOL
lead	O
on	O
insulated	PROP
heat	PART
sink	PART
,	O
all	O
3	O
readings	O
should	O
indicate	O
continuity	O
0	O
Switch	O
leads	O
and	O
repeat	O
0	O
All	O
3	O
new	O
readings	O
should	O
indicate	O
open	O
circuits	PART
0	O
If	O
all	O
readings	O
are	O
correct	O
,	O
the	O
rectifier	PART
bridge	PART
is	O
good	O
0	O
If	O
any	O
reading	O
is	O
wrong	O
,	O
an	O
open	O
or	O
shorted	PROP
diode	PART
is	O
indicated	O
and	O
rectifier	PART
bridge	PART
should	O
be	O
replaced	O
0	O
To	O
remove	O
bridge	PART
,	O
remove	O
nut	PART
-LRB-	O
218	O
-RRB-	O
,	O
nut	PART
-LRB-	O
199	O
-RRB-	O
and	O
relay	PART
strap	PART
-LRB-	O
198	O
-RRB-	O
from	O
regulator	PART
stud	PART
-LRB-	O
193	O
-RRB-	O
,	O
two	O
bridge	PART
attaching	O
screws	PART
-LRB-	O
226	O
-RRB-	O
,	O
and	O
insulated	PROP
capacitor	PART
attaching	O
screw	PART
-LRB-	O
224	O
-RRB-	O
0	O
Lift	OPER
capacitor	PART
-LRB-	O
12	O
-RRB-	O
and	O
rectifier	PART
bridge	PART
-LRB-	O
8	O
-RRB-	O
from	O
SRE	O
housing	PART
-LRB-	O
Fig.	O
18	O
-RRB-	O
0	O
STATOR	PART
Disconnect	OPER
the	O
3	O
stator	PART
phase	PART
leads	PART
-LRB-	O
B	O
-RRB-	O
from	O
the	O
diode	PART
bridge	PART
studs	PART
by	O
removing	O
3	O
nuts	PART
-LRB-	O
218	O
-RRB-	O
0	O
Use	O
continuity	O
check	O
function	O
of	O
ohmmeter	TOOL
to	O
check	OPER
stator	PART
windings	PART
0	O
-LRB-	O
See	O
Fig.	O
18	O
-RRB-	O
Place	OPER
one	O
meter	O
