GEARBOX	O
P/N	O
001544	O
Installing	O
Input	O
Shaft	O
and	O
Gear	O
,	O
Install	O
Front	O
Bearing	O
-LRB-	O
item	O
3	O
-RRB-	O
into	O
Main	O
Housing	O
-LRB-	O
item	O
1	O
-RRB-	O
Bearing	O
will	O
install	O
from	O
back	O
side	O
of	O
Housing	O
.	O
Install	O
Key	O
-LRB-	O
item	O
2	O
-RRB-	O
into	O
Input	O
Shaft	O
,	O
Slide	O
input	O
Gear	O
-LRB-	O
item	O
6	O
-RRB-	O
on	O
to	O
Shaft	O
from	O
front	O
Side	O
.	O
Install	O
Input	O
Seal	O
into	O
Main	O
Housing	O
from	O
the	O
outside	O
or	O
Seal	O
can	O
be	O
installed	O
later	O
if	O
wanted	O
,	O
If	O
Seal	O
is	O
installed	O
coat	O
ID	O
of	O
Seal	O
with	O
light	O
coat	O
of	O
Grease	O
and	O
also	O
coat	O
area	O
on	O
Shaft	O
where	O
Seal	O
contacts	O
Shaft	O
.	O
Drop	O
Input	O
Shaft	O
with	O
Gear	O
on	O
it	O
through	O
Seal	O
and	O
Main	O
Housing	O
from	O
the	O
Back	O
of	O
Main	O
Housing	O
.	O
Use	O
caution	O
not	O
to	O
damage	O
Input	O
Seal	O
if	O
it	O
has	O
been	O
installed	O
.	O
Insert	O
Rear	O
Cover	O
O-Ring	O
-LRB-	O
item	O
18	O
-RRB-	O
into	O
Housing	O
and	O
coat	O
it	O
with	O
a	O
light	O
coat	O
of	O
grease	O
.	O
Push	O
Rear	O
Cover	O
-LRB-	O
item	O
16	O
-RRB-	O
into	O
Housing	O
,	O
Cover	O
is	O
held	O
in	O
place	O
by	O
Shoulder	O
Ring	O
-LRB-	O
item	O
17	O
-RRB-	O
which	O
is	O
installed	O
now	O
.	O
Installing	O
Output	O
Shaft	O
-LRB-	O
item	O
13	O
-RRB-	O
,	O
with	O
Bearings	O
and	O
components	O
as	O
shown	O
in	O
Drawing	O
into	O
Main	O
Housing	O
-LRB-	O
Item	O
1	O
-RRB-	O
,	O
install	O
Input	O
shaft	O
before	O
installing	O
Output	O
Shaft	O
.	O
Install	O
components	O
onto	O
Output	O
Shaft	O
-LRB-	O
item	O
13	O
-RRB-	O
,	O
First	O
slide	O
the	O
Shims	O
-LRB-	O
item	O
12	O
-RRB-	O
at	O
top	O
of	O
Output	O
Shaft	O
under	O
Gear	O
on	O
use	O
the	O
same	O
quantity	O
as	O
was	O
removed	O
,	O
Install	O
Top	O
Bearing	O
-LRB-	O
item	O
3	O
-RRB-	O
on	O
till	O
it	O
seats	O
against	O
Shims	O
.	O
Slide	O
Lower	O
Bearing	O
Spacer	O
-LRB-	O
item	O
7	O
-RRB-	O
on	O
Output	O
Shaft	O
,	O
This	O
Spacer	O
has	O
the	O
OD	O
same	O
as	O
the	O
Bearings	O
so	O
it	O
will	O
be	O
loose	O
on	O
Shaft	O
.	O
Put	O
Lower	O
Bearing	O
-LRB-	O
item	O
3	O
-RRB-	O
on	O
Shaft	O
til	O
it	O
seats	O
against	O
Bearing	O
Spacer	O
.	O
Install	O
more	O
Shims	O
-LRB-	O
item	O
12	O
-RRB-	O
on	O
output	O
shaft	O
,	O
Use	O
same	O
Quantity	O
as	O
was	O
taken	O
off	O
.	O
Install	O
the	O
External	O
Snap	O
ring	O
-LRB-	O
item	O
9	O
-RRB-	O
onto	O
Output	O
Shaft	O
.	O
The	O
Out	O
out	O
Shaft	O
,	O
Bearings	O
,	O
Shims	O
,	O
Bearing	O
Spacer	O
and	O
Snap	O
Ring	O
should	O
be	O
all	O
one	O
assembly	O
now	O
.	O
Slide	O
this	O
assembly	O
up	O
into	O
Main	O
Housing	O
from	O
the	O
Bottom	O
,	O
It	O
may	O
be	O
required	O
to	O
move	O
Bearing	O
spacer	O
side	O
to	O
side	O
to	O
keep	O
it	O
lined	O
up	O
.	O
Slide	O
assembly	O
in	O
till	O
upper	O
Bearing	O
bottoms	O
out	O
in	O
Housing	O
.	O
Install	O
Lower	O
Internal	O
Snap	O
Ring	O
-LRB-	O
item	O
8	O
-RRB-	O
into	O
lower	O
end	O
of	O
Main	O
Housing	O
,	O
This	O
retains	O
Output	O
Shaft	O
and	O
components	O
.	O
DO	O
NOT	O
install	O
lower	O
Seal	O
at	O
this	O
Time	O
.	O
Check	O
Shaft	O
for	O
end	O
Play	O
and	O
Gear	O
Back-Lash	O
,	O
there	O
should	O
be	O
no	O
end	O
play	O
,	O
If	O
there	O
is	O
install	O
more	O
Shims	O
-LRB-	O
item	O
12	O
-RRB-	O
on	O
Shaft	O
,	O
If	O
Shaft	O
is	O
to	O
tight	O
use	O
less	O
Shims	O
.	O
Gear	O
Back	O
-	O
Lash	O
should	O
be	O
.016	O
''	O
to	O
.019	O
''	O
if	O
it	O
is	O
not	O
then	O
move	O
Shims	O
-LRB-	O
item	O
12	O
-RRB-	O
from	O
Top	O
to	O
Bottom	O
or	O
Bottom	O
to	O
Top	O
,	O
Where	O
ever	O
they	O
are	O
moved	O
from	O
they	O
will	O
have	O
to	O
go	O
to	O
the	O
other	O
end	O
to	O
keep	O
End	O
Play	O
correct	O
.	O
Install	O
Lower	O
Seal	O
-LRB-	O
Item	O
11	O
Dust	O
Shield	O
-RRB-	O
,	O
Coat	O
Seal	O
ID	O
with	O
light	O
coat	O
of	O
grease	O
,	O
Install	O
Shoulder	O
Ring	O
-LRB-	O
item	O
10	O
-RRB-	O
.	O
Fill	O
Gearbox	O
with	O
oil	O
.	O
DO	O
NOT	O
Fill	O
with	O
Oil	O
above	O
Oil	O
Level	O
Plug	O
.	O
Wait	O
a	O
while	O
let	O
Gearbox	O
sit	O
and	O
have	O
time	O
for	O
Oil	O
to	O
run	O
down	O
into	O
lower	O
Bearings	O
and	O
recheck	O
Oil	O
Level	O
.	O
ALWAYS	O
recheck	O
Oil	O
Level	O
after	O
running	O
Mower	O
1/2	O
to	O
1	O
hour	O
.	O
Inspect	O
Seals	O
for	O
leaking	O
after	O
filling	O
with	O
Oil	O
and	O
after	O
running	O
1/2	O
to	O
1	O
hour	O
.	O
GEARBOX	O
P/N	O
00749003	O
Install	O
Output	O
Shaft	O
-LRB-	O
Blade	O
Shaft	O
-RRB-	O
First	O
,	O
Install	O
Bearings	O
,	O
Gears	O
,	O
Shafts	O
and	O
Components	O
in	O
Main	O
Housing	O
-LRB-	O
item	O
1	O
-RRB-	O
.	O
Inspect	O
Main	O
Housing	O
-LRB-	O
item	O
1	O
-RRB-	O
,	O
Front	O
Bearing	O
Cap	O
-LRB-	O
item	O
2	O
-RRB-	O
,	O
Rear	O
Bearing	O
Cap	O
-LRB-	O
item	O
4	O
-RRB-	O
and	O
the	O
two	O
Side	O
Drive	O
Housings	O
-LRB-	O
item	O
5	O
-RRB-	O
for	O
condition	O
,	O
this	O
will	O
include	O
checking	O
where	O
Retaining	O
Ring	O
-LRB-	O
item	O
9	O
&	O
10	O
-RRB-	O
are	O
inserted	O
in	O
lower	O
end	O
-LRB-	O
output	O
Shaft	O
area	O
-RRB-	O
,	O
All	O
seal	O
areas	O
for	O
Burrs	O
or	O
scratches	O
that	O
will	O
cause	O
Seals	O
to	O
Leak.	O
,	O
Inspect	O
all	O
Bolt	O
Holes	O
and	O
threads	O
,	O
Inspect	O
all	O
areas	O
where	O
Bearing	O
Cups	O
must	O
seat	O
.	O
Install	O
Internal	O
Snap	O
Ring	O
-LRB-	O
item	O
10	O
-RRB-	O
into	O
bottom	O
and	O
Internal	O
Snap	O
Ring	O
-LRB-	O
item	O
9	O
-RRB-	O
into	O
Main	O
Housing	O
-LRB-	O
item	O
1	O
-RRB-	O
lower	O
opening	O
for	O
Output	O
Shaft	O
.	O
Make	O
sure	O
they	O
are	O
seated	O
in	O
grooves	O
completely	O
.	O
Slide	O
Lower	O
Bearing	O
Cup	O
-LRB-	O
item	O
34	O
-RRB-	O
thick	O
end	O
first	O
into	O
housing	O
from	O
the	O
bottom	O
,	O
Cup	O
should	O
go	O
in	O
till	O
it	O
is	O
seated	O
against	O
lower	O
Retaining	O
Ring	O
-LRB-	O
item	O
10	O
-RRB-	O
.	O
Slide	O
Upper	O
Bearing	O
Cup	O
-LRB-	O
item	O
12	O
-RRB-	O
thick	O
end	O
first	O
into	O
opening	O
from	O
the	O
top	O
,	O
it	O
will	O
slide	O
it	O
till	O
it	O
seats	O
against	O
upper	O
Retaining	O
Ring	O
-LRB-	O
item	O
9	O
-RRB-	O
.	O
Slide	O
Bearing	O
Cone	O
-LRB-	O
item	O
35	O
-RRB-	O
down	O
onto	O
Output	O
Blade	O
Shaft	O
-LRB-	O
item	O
6	O
-RRB-	O
from	O
the	O
top	O
-LRB-	O
gear	O
end	O
-RRB-	O
till	O
it	O
is	O
seated	O
against	O
Shoulder	O
at	O
Bottom	O
.	O
Slide	O
Blade	O
Shaft	O
-LRB-	O
item	O
6	O
-RRB-	O
up	O
into	O
Main	O
Housing	O
from	O
the	O
bottom	O
till	O
lower	O
Bearing	O
Cone	O
is	O
seated	O
into	O
lower	O
Bearing	O
Cup	O
.	O
Slide	O
the	O
upper	O
bearing	O
Cone	O
onto	O
Blade	O
Shaft	O
from	O
the	O
top	O
till	O
it	O
is	O
seated	O
into	O
upper	O
Bearing	O
Cup	O
.	O
Slide	O
the	O
Blade	O
Output	O
Gear	O
-LRB-	O
item	O
44	O
-RRB-	O
down	O
over	O
Shaft	O
from	O
Top	O
.	O
Install	O
washer	O
-LRB-	O
item	O
45	O
-RRB-	O
on	O
shaft	O
on	O
top	O
of	O
Gear	O
,	O
Screw	O
Slotted	O
Nut	O
-LRB-	O
item	O
36	O
-RRB-	O
onto	O
top	O
of	O
Blade	O
Output	O
Shaft	O
.	O
Adjust	O
Bearing	O
Pre-Load	O
in	O
Blade	O
Output	O
